  Name  nsuef,Email Addresshbjjb , Password 12582,Salt %^bh ,Date of Birth   ,Street Name  9x9x ,Parish   hbjjb, Zip   12582,Country  %^bh,Account Branch   ,Loyalty Pointsnsuef ,Gender  ,Contact Number  (raw) ,Signup Date 2018 ,Total Purchases  
Khadija Best,Khadija.Best@loyalty.kkhair.com,odZyq05yrdWcJrLs,42258e86a1df516f,1965-08-24,Bay Street #10,San Fernando,TT3474,Trinidad & Tobago,Chaguanas,20158,Male,+1 (868) 90150595476,2016-05-04,49
 Andre Campbell-Dottin  ,Andre.Campbell-Dottin@loyalty.kkhair.com,zpJ BE1,bf865333b8a42f3c,1959/03/27,Sunset Blvd #121,St. John Figtree,KN0101,St. Kitts & Nevis,Sandy Point,21084,Prefer not to say,+ 92059483  ,2016/02,3
Kirsten García,Kirsten.Garca@kandk-hair.co,XLAMUzI@Aqha0eoV,60b75bd5909f18d8,1984/8/24,Sunset Blvd #208,St. George,BB17001,Barbados,Oistins,9267,Female,5741193539103891,2018/03/30,87
Kofi Jean-Baptiste,Kofi.Jean-Baptiste@loyalty.kkhair.com,^fHyHsbe$^sP,af616f06ef6241bd,1982/06/10,Hibiscus Lane #32,St. Thomas,43031,Barbados,Oistins,2544,Male,09514050,2016/07/25,108
 Keisha Baptiste  ,Keisha.Baptiste@loyalty.kkhair.com,yG#nbKPv,7c4abd28834e1216,1965/11/14 ,Coral Ridge #131,Port of Spain,00000,Trinidad & Tobago,Port of Spain,3153,Non-binary,+1 (868) 32409652612,2018/04,72
Khadija Forde,KHADIJA.FORDE_727@kandk-hair.co,16WRVX,7576c939799c550f,1960/1/2,Hibiscus Lane #263,Dennery,LC12 301,St. Lucia,Vieux Fort,20110,Non-binary,(942) 816,2018/03/24,57
Aaliyah Forde Charles,Aaliyah.Charles_853@loyalty.kkhair.com,6$kVRRlNTV,d87a443f64948f51,1957/01/07,Coral Ridge #39,Couva-Tabaquite-Talparo,70156,Trinidad & Tobago,San Fernando,3485,Male,+ 420457813145  ,2018/02/16,47
  Andre  Thompson  Williams    ,Andre.Williams_68@loyalty.kkhair.com,kKF79#dV,44ff04d19ecfe5bc,1994/02/13,Coconut Walk #40,Kingston,07,Jamaica,Montego Bay,22642,Prefer not to say,+1 (876) 4996727633968007,2016/08/05,36
Sade Morris,Sade.Morris_68@kandk-hair.co,bKsqVCErAkMD,d2dcf99df1f33a23,1999/04/30,Mango Tree Drive #66,San Fernando,00000,Trinidad & Tobago,San Fernando,3848,Non-binary,586-0264-23624,2018/11/09,36
Zoë Ramdeen,Zo.Ramdeen@MAIL.KKHAIR.NET,T6ii@^,98114f885897e6cc,1959/9/6,Market Street #204,Couva-Tabaquite-Talparo,00000,Trinidad & Tobago,Chaguanas,17171,Female,(182) 7734774,2018/06,94
Kareem St. Clair,Kareem.Clair@kkhairemporium.com,nO1@PKpBQJTR46d6,1fe19ba6002f6383,1970/06/09,Coral Ridge #90,Castries,LC12 301,St. Lucia,Gros Islet,14673,Male,(055) 52517,2018/12/25,41
Sofía van der Kringle,Sofa.Kringlekandk-hair.co,tdxqgJja,c1e5ca5138ed1de7,1988-07-19,Coral Ridge #123,St. Andrew,85097,Jamaica,Montego Bay,23614,Male,2050650696158844,2016/09/16,32
Sofía Lewis-Núñez,Sofa.Lewis-Nez@kkhairemporium.com,eMh0sFxmUp7O,cf5d0adb72868551,1959/03/10,Hibiscus Lane #41,St. George Basseterre,8461,St. Kitts & Nevis,Basseterre,5438,Male,+1 (869) 74995893674,2018/03/25,62
Mikaël St. Clair,MIKAL.CLAIR@KKHAIREMPORIUM.COM,eSwtA^CU,546efa1890c7588c,1991-10-06,Cedar Park #57,Couva-Tabaquite-Talparo,00000,Trinidad & Tobago,San Fernando,23722,Non-binary,(427) 93399,2016/09/27,113
Renée  Alleyne-Best,RENE.ALLEYNE-BEST@MAIL.KKHAIR.NET,2UH LkfHz!7ev16eQ,ad57e58c8ac09b22,1957/10/24,Queen's Road #202,Dennery,LC10 201,St. Lucia,Castries,22062,Prefer not to say,9111785125,2016/12/16,22
Keisha Alleyne,KEISHA.ALLEYNE.146@loyalty.kkhair.com,4Q9Xl!ZV!uuHU%%E,0f679166f6c3b5cd,1989/04/27,Palm Grove #278,St. George Basseterre,KN0503,St. Kitts & Nevis,Sandy Point,11006,Male,+1 (869) 002275,2017/02/17,84
Tanesha Baptiste,Tanesha.Baptiste@KANDK-HAIR.CO,oB8K5w@D,4d8a85fd477c6490,1970/08/07,Market Street #44,St. Peter,BB23026,Barbados,Oistins,16460,Female,+1 (246) 618098098804,2017/03/01,92
Jermaine Williams,JERMAINE.WILLIAMS-369@loyalty.kkhair.com,9wxsnOSE,13c65e8b32ca2d0c,1981/07/27,Bamboo Crescent #167,Kingston,36121,Jamaica,Montego Bay,23643,Female,+1 (876) 575296647118,2016/10/02,58
Rohan O'Connor,Rohan.OConnor@mail.kkhair.net,0B3$Ri,edbb2cdec1546c89,2006/06/09,Queen's Road #54,St. Ann,40735,Jamaica,Spanish Town,148,Non-binary,424-9162,2016/09/02,60
José Hernández,Jos.Hernndez-135kkhairemporium.com,y$l dDG4An6Pm,5b7a0675f309a6a2,1983/07/07,Sugar Cane Way #104,Dennery,LC10 201,St. Lucia,Castries,22831,Prefer not to say,916-335,2016-06-23,111
Noël Thompson,Nol.Thompsonloyalty.kkhair.com,*sseY*rGRfw$,be3d32d5b9639a7d,1972/12,Market Street #223,Castries,4654,St. Lucia,Gros Islet,22686,Non-binary,+1 (758) 6161605433707367,2018-10-17,61
Kirsten Singh,KIRSTEN.SINGH@kandk-hair.co,MaX5r25sgIl3vzin,eeac8f8034bb73ea,1955/2/9,Cedar Park #53,St. Thomas,BB23026,Barbados,Oistins,7666,Non-binary,397-267,2017/12/08,104
 Chloë Morris  ,Chlo.Morris@kkhairemporium.com,,,,,,,,,,,,,
Rohan  Singh,Rohan.Singh@loyalty.kkhair.com,,,,,,,,,,,,,
Devon Clarke,Devon.Clarke@kkhairemporium.com,vDJ0nUfIpi@g,4414a26005b1229e,1994/12,Coral Ridge #29,St. Philip,BB23026,Barbados,Warrens,4146,Male,839-0497-574,2017/08/02,105
Marlon Thompson,Marlon.Thompson@loyalty.kkhair.com,ifA LzgrLlA,d1c8816b793ff669,1975/12/20,Sugar Cane Way #22,Couva-Tabaquite-Talparo,TT2819,Trinidad & Tobago,Chaguanas,4976,Female,+ 821606392318  ,2018/08,85
Jamal  De  la  Cruz,JAMAL.CRUZ@kkhairemporium.com,EZ9arT5OET2NIiiy,e5c7c5905784172f,1961/10/3,Palm Grove #23,St. Paul Charlestown,KN0302,St. Kitts & Nevis,Charlestown,22114,Non-binary,+1 (869) 7286939539106733,2018/11/30,49
Anaïs Thompson,Anas.Thompson@loyalty.kkhair.com,vEUSQxdjaoUNMNN!,0e81b3e06453eea1,1977/07/13,Seaview Terrace #272,Gros Islet,LC04 101,St. Lucia,Castries,5765,Female,+1 (758) 410372810297,2017-11-30,57
Kareem Hernández,Kareem.Hernndez_506@mail.kkhair.net,AcxuSn7X,535f9d53669bb5bc,1990/09,Coral Ridge #88,Micoud,LC04 101,St. Lucia,Vieux Fort,24050,Non-binary,414-7537-637825648,2018/05,63
Kirsten Ramdeen,Kirsten.Ramdeen@kkhairemporium.com,gY70JRimVa,4ade095d8cfb119c,1955/08/09,Seaview Terrace #200,San Fernando,TT4007,Trinidad & Tobago,San Fernando,1037,Non-binary,+1 (868) 627502,2016/11/19,22
Aaliyah  Dottin,Aaliyah.Dottin@loyalty.kkhair.com,@WFPmL$7,f2a34a8b7a77a92d,1974/12/29,Bay Street #174,Christ Church,27494,Barbados,Oistins,22267,Non-binary,+1 (246) 209018,2017-09-10,58
Jéssica Forde,Jssica.Forde@mail.kkhair.net,mgOaKPXn5IhdU!U%,9b8520950925da81,2004/02/03,Queen's Road #169,Kingston,12,Jamaica,Montego Bay,3958,Female,+1 (876) 37577079606,2018/05/17,14
Jéssica Holder,Jssica.Holder@kandk-hair.co,U&u!7h0qr1,3bc80d05fd30057b,1967-05-03,Coral Ridge #133,St. Catherine,19,Jamaica,Montego Bay,15379,Male,+ 494385633759  ,2017/07/04,10
Zoë Charles,Zo.Charles@KKHAIREMPORIUM.COM,pDD8Pu,387582e0e34ffd77,1998/07/16,Coral Ridge #21,St. Ann,17,Jamaica,Spanish Town,5641,Male,082204484351,2018-11-20,99
Jamal Best,Jamal.Best@kkhairemporium.com,cbx $LvrJm@,3737ff868171af5a,1963/02/25,Hibiscus Lane #126,St. Thomas Lowland,KN0101,St. Kitts & Nevis,Basseterre,13385,Male,201-5297-968546211,2018/07/14,6
Aaliyah Morris,Aaliyah.Morris@mail.kkhair.net,KRBXtqoFQfmn,8ca04298b88e4b9e,1959/12/10,Coconut Walk #157,San Fernando,98983,Trinidad & Tobago,San Fernando,13497,Male,490-4651-4444,2018/01/13,66
D’Andre Grant,DAndre.Grant@mail.kkhair.net,DdGEk8,942737dfa876fff4,1994/08/04,Queen's Road #129,St. Peter,BB17001,Barbados,Warrens,3787,Male,(038) 34124,2017/01/04,110
Sofía Williams-Brathwaite,Sofa.Williams-Brathwaite@KKHAIREMPORIUM.COM,EuE!6ACVuma^,6ebb5d7528b31b23,1979/04,Sunset Blvd #255,Couva-Tabaquite-Talparo,83437,Trinidad & Tobago,Port of Spain,21054,Female,433-9553-433,2018-07-18,98
Jermaine Williams,JERMAINE.WILLIAMS@KANDK-HAIR.CO,edk6CoWy,970f598f70f3425b,2003/06/02,Harbour View #40,St. George Basseterre,KN0503,St. Kitts & Nevis,Basseterre,18641,Male,(244) 9520769,2016/06/06,104
Rohan Forde,ROHAN.FORDE@ loyalty.kkhair.com,n&ggVJ,04eec13473c4afZZ,1956/09,Cedar Park #211,St. Paul Charlestown,6714,St. Kitts & Nevis,Sandy Point,7836,Prefer not to say,+ 384718458163  ,2016/12/27,75
Rashida Browne,Rashida.Browne@domain_with_space.LOYALTY.KKHAIR.COM,%eAlgtWtD4dUeX6L,5b545a9ca8fc72d2,1986/10/01,Cedar Park #28,Christ Church,BB23026,Barbados,Bridgetown,11632,Non-binary,+ 3724667  ,2016/09/14,116
Tia Forde,Tia.Forde@loyalty.kkhair.com,,,,,,,,,,,,,
José Joseph,Jos.Joseph@loyalty.kkhair.com,#C2HPH5V59,b95196c5fac8fa1e,1993/09/04,Mango Tree Drive #93,St. Peter,BB17001,Barbados,Bridgetown,24883,Female,808-6789-4,2016-08-08,114
Mikaël Campbell,Mikal.Campbell@kkhairemporium.com,t7RvB4ncbsVXyOj!,1b6517c270299d83,1998/04,Coral Ridge #148,St. George Basseterre,KN0302,St. Kitts & Nevis,Sandy Point,16156,Non-binary,(069) 32894011,2017/01,96
José Baptiste Greenidge,Jos.Greenidge@,Bn1 s5Sv!N0gk,cef910e1264bcc20,1955/04/16,Queen's Road #125,St. Ann,15,Jamaica,Montego Bay,2043,Female,022212,2017/03,120
Andre Brathwaite,Andre.Brathwaite@kkhairemporium.com,WzIoaW,df2139922d7544b3,1978/01/30,Bay Street #169,St. Paul Charlestown,KN0101,St. Kitts & Nevis,Sandy Point,14616,Male,+ 170254  ,2018/03/10,4
José Lewis,Jos.Lewis@kandk-hair.co,^gQ7SQavLs,4d67b573ea9ef3ZZ,1990-12-10,Hibiscus Lane #67,Kingston,23876,Jamaica,Montego Bay,13936,Prefer not to say,(482) 28780,2017/02/03,5
Kofi Best,Kofi.Best@mail.kkhair.net,Weu3NifG@p1MPGP#,9dbee37e3b685e65,1996/08/25,Independence Ave #89,Soufrière,7186,St. Lucia,Gros Islet,8423,Non-binary,7494645,2016/04/30,93
Zoë Clarke,Zo.Clarke@loyalty.kkhair.com,LTzwBrFNQFBSX1$u,dbfb94070367ec22,1995/12/29,Palm Grove #51,St. James,BB14000,Barbados,Bridgetown,11669,Female,623-1539-42811,2018/08,117
 Sade Morris  ,SADE.MORRIS@loyalty.kkhair.com,rpVielhdHLCber6!,0cac94ed605c65ce,1975/04/22,Sunset Blvd #45,Chaguanas,TT2296,Trinidad & Tobago,Port of Spain,15033,Non-binary,+ 9871414  ,2017/01/15,114
Tyrone Ramdeen,Tyrone.Ramdeen@mail.kkhair.net,#z#i0@Mr,a91b9f879fa4f59a,1996/02/10,Market Street #279,Gros Islet,LC12 301,St. Lucia,Gros Islet,11299,Non-binary,421-001,2018/03/29,97
Jermaine Joseph,Jermaine.Joseph@kkhairemporium.com,*WXq3wBEREbeqSSz,5bc6ef635b59bf13,1963/07/10,Sunset Blvd #33,Diego Martin,56013,Trinidad & Tobago,Port of Spain,21857,Male,836-2492-1,2017/11/26,39
Marlon Charles,Marlon.Charles@kandk-hair.co,BS$khSJ&wQ3u9B2J,63d2404df94ffa3a,1994/06/14,Palm Grove #226,Dennery,LC04 101,St. Lucia,Gros Islet,12304,Female,+ 285685944164  ,2017/04/29,98
Keisha Brathwaite,KEISHA.BRATHWAITE@kkhairemporium.com,m%fYbF0F,b3a542dbc261e7e2,1981/02/07,Seaview Terrace #165,St. James,BB17001,Barbados,Bridgetown,130,Prefer not to say,+1 (246) 457774146518,2018/04/02,96
Mikaël Holder,MIKAL.HOLDER@kandk-hair.co,7#WZh6hxRc,cdd1cb0b4d21ddbb,1973-10-07,Bamboo Crescent #131,St. James,24063,Jamaica,Kingston,5919,Non-binary,(439) 684,2017/03/06,100
Andre  Clarke-Johnson,Andre.Clarke-Johnson@kkhairemporium.com,pBs9km#Cn&9qm0Qa,2ebed031dea44d49,1962/10/05 ,Seaview Terrace #266,Arima,TT3753,Trinidad & Tobago,Port of Spain,13228,Prefer not to say,+ 17731319  ,2018/08,72
Jamal Campbell,Jamal.Campbell@mail.kkhair.net,RF!2Vil%qP,da3c63e5f3a86d52,1972/7/7,Hibiscus Lane #171,Kingston,36435,Jamaica,Montego Bay,405,Prefer not to say,968-7574-4,2017/10/07,32
Tyrone Johnson,TYRONE.JOHNSON@KANDK-HAIR.CO,P$*!8JfShB,a269cb1dadd7f89f,1962/01,Sunset Blvd #85,St. Thomas Lowland,KN0302,St. Kitts & Nevis,Sandy Point,2859,Female,+ 5729976656  ,2016/03,104
Chloë Morris,Chlo.Morris@mail.kkhair.net,NmeGz8po%x,106817a5f3f64162,1994/03/21,Coconut Walk #224,Couva-Tabaquite-Talparo,TT2580,Trinidad & Tobago,San Fernando,15561,Prefer not to say,978884587957,2018/09/04,37
Keisha Greenidge,Keisha.Greenidge.56@mail.kkhair.net,CTmc&Ar@,ccd940075ca171a4,1963/9/2,Independence Ave #21,St. John Figtree,KN0503,St. Kitts & Nevis,Basseterre,7305,Male,+1 (869) 29495760,2018/05,9
Rashida Lewis,RASHIDA.LEWIS.605@mail.kkhair.net,%2*4Yis5,c436a9ac2873b669,2006/09/16,Sugar Cane Way #186,Christ Church,BB17001,Barbados,Bridgetown,1044,Non-binary,04002417036,2017/01,102
Zoë Campbell,ZO.CAMPBELL_300@mail.kkhair.net,Yuj98Lswmen@,842a2fa0fd727481,1979/08/15,Cedar Park #42,Arima,00000,Trinidad & Tobago,Chaguanas,12989,Prefer not to say,714-5706,2018/12,55
Kirsten Browne,Kirsten.Browne@mail.kkhair.net,pwiyl@W9a!ba,ed589a5e96007f1d,1980/09/25,Queen's Road #289,St. Thomas Lowland,2436,St. Kitts & Nevis,Charlestown,21152,Non-binary,874-9320-3922,2018/04/04,3
Latoya Holder,Latoya.Holder@loyalty.kkhair.com,PBasH1KAc#oC,5beb08245dc97b08,1983/04/12 ,Sugar Cane Way #228,St. Andrew,04,Jamaica,Spanish Town,13891,Prefer not to say,+ 2477603  ,2016-11-07,64
Latoya Forde Browne,Latoya.Browne@mail.kkhair.net,EX9FCzF#zz^52$AZ,4b3e6d3cb547a1f7,1999/01,Seaview Terrace #185,Christ Church,BB14000,Barbados,Warrens,16921,Non-binary,603-3429-9508,2016/11,19
Renée van der Kringle,Rene.Kringle@mail.kkhair.net,04D9j&ifT4H3#DBe,f81d584c317748ff,1986-06-01,Market Street #141,Arima,24552,Trinidad & Tobago,San Fernando,2656,Male,+1 (868) 9406357,2018/08/14,26
Rashida Holder,RASHIDA.HOLDERloyalty.kkhair.com,MD$T^bd$23uIOcPi,09e7bfb879a7c9c3,1998/09/20,Bay Street #294,St. Paul Charlestown,8284,St. Kitts & Nevis,Basseterre,4898,Male,+ 6461533  ,2016/01/22,1
 Jermaine Dottin  ,Jermaine.Dottin@mail.kkhair.net,F&eOnGTEWbo3%jte,010c2bbb75488abd,1974/01,Sunset Blvd #156,Clarendon,90613,Jamaica,Montego Bay,2749,Male,+1 (876) 99517699330,2016/06/11,74
Devon Núñez Clarke,DEVON.CLARKE@kkhairemporium.com,0oir%!Lf,32e60c7428a4ec__,1971/10/14,Palm Grove #185,Gros Islet,LC12 301,St. Lucia,Castries,10499,Prefer not to say,083-1912-604858965,2016/05/19,34
Shanice Singh,Shanice.Singh@loyalty.kkhair.com,@gVG$6N^,acc4701bc098c3b0,1967/06/06,Bay Street #114,Vieux Fort,1862,St. Lucia,Gros Islet,20590,Non-binary,+ 6605059085576578  ,2017-03-11,60
José Campbell,JOS.CAMPBELL@,fyPtkXcpdr62I@jN,7523214dd47fe637,1977-05-14,Bay Street #276,St. Peter Basseterre,KN0503,St. Kitts & Nevis,Sandy Point,5324,Male,803-4633-287,2016-11-10,53
Tia Hernández,Tia.Hernndez.982@LOYALTY.KKHAIR.COM,USB*oP,b12a87ae31fe8393,1965/03/29,Coconut Walk #219,Soufrière,LC12 301,St. Lucia,Gros Islet,3621,Prefer not to say,+ 006562  ,2018/03/11,70
Dwayne Jean-Baptiste,DWAYNE.JEAN-BAPTISTE@mail.kkhair.net,23UTfvDJKqDn,55cd893c39c57c6a,1960/05/13,Bamboo Crescent #106,Gros Islet,LC12 301,St. Lucia,Castries,20642,Male,+ 356117  ,2016/12/01,37
Rohan Grant,ROHAN.GRANT_767@kandk-hair.co,9Wj0uv,a8636af90e9e80e6,1968/08/03,Harbour View #54,Couva-Tabaquite-Talparo,73845,Trinidad & Tobago,San Fernando,14394,Prefer not to say,+1 (868) 90618344251,2016/03/17,33
Sade Forde,SADE.FORDE_527@mail.kkhair.net,i2l5gW,399a67fb503bc38d,1964/10/17 ,Coconut Walk #40,Vieux Fort,LC10 201,St. Lucia,Castries,15570,Prefer not to say,40913417810,2018/09/24,47
Chloë Johnson,CHLO.JOHNSON@loyalty.kkhair.com,P&y*!BXe7w,d21872c94e5601e0,1989/7/22,Queen's Road #2,San Fernando,12870,Trinidad & Tobago,Chaguanas,84,Non-binary,+1 (868) 19908187,2016/04/18,63
Marlon St. Clair,Marlon.Clair-228@,AsXfQgH7DT,45db861b6e69b36b,1993/12/19,Harbour View #31,Couva-Tabaquite-Talparo,TT2014,Trinidad & Tobago,Port of Spain,19990,Prefer not to say,+1 (868) 7405143,2018/03/03,101
Kofi Singh,Kofi.Singh@kkhairemporium.com,UKw2ff0q,55686be6a9b54a2f,1998/8/12,Coral Ridge #139,St. George,68353,Barbados,Warrens,13046,Non-binary,(128) 89563,2018/05/26,54
 Jéssica Greenidge-Forde  ,Jssica.Greenidge-Forde_660@mail.kkhair.net,wjMK$BQKQ6,7d64b4b9616a7a52,1998/12,Coconut Walk #195,Soufrière,1348,St. Lucia,Vieux Fort,23716,Male,+1 (758) 471575610801,2017-03-12,20
Mikaël Johnson,MIKAL.JOHNSON@kandk-hair.co,$CrytTHmHqv0Dr0q,8a6f3a18a3cfef12,1986/08/31,Sunset Blvd #107,St. Andrew,80350,Jamaica,Kingston,6412,Male,635546903369,2016/06/26,112
Jermaine Forde,Jermaine.Fordeloyalty.kkhair.com,83u WaxBQ2KcD,d2b0fdfc6339e8c3,1962/06/28,Seaview Terrace #5,Castries,LC12 301,St. Lucia,Castries,11871,Non-binary,+1 (758) 758637,2017/02/22,112
Andre Williams,Andre.Williams@mail.kkhair.net,V*IBilXuihZTkNG7,cb9620abef21614e,1992-03-04,Bay Street #280,Arima,53341,Trinidad & Tobago,Chaguanas,14790,Male,(843) 42314,2017/11/13,12
Kareem St. Clair,Kareem.Clair@kkhairemporium.com,fIgoOp,9390b1b0278f85c7,1977-11-05,Independence Ave #88,St. Ann,49742,Jamaica,Kingston,10494,Non-binary,+1 (876) 392453960424,2016/06/20,90
Tyrone Holder,Tyrone.Holder@mail.kkhair.net,53#wcmnv,cc3851f050e0d7b3,1983/07/18,Sunset Blvd #241,Vieux Fort,LC10 201,St. Lucia,Castries,14413,Female,(533) 7970,2016/04/15,82
Jermaine Dottin,Jermaine.Dottin@kandk-hair.co,oPD EDd,5acd8e826723b2d7,2003/05/23,Sugar Cane Way #155,St. Andrew,64034,Jamaica,Kingston,2847,Non-binary,+1 (876) 30990349,2016/06/04,48
Rohan Jean-Baptiste,Rohan.Jean-Baptiste@loyalty.kkhair.com,QkMPvx$r,a69a5e68dbeea77b,1999-07-08,Seaview Terrace #199,Vieux Fort,1106,St. Lucia,Gros Islet,2894,Male,+ 1540244  ,2018/10/27,113
Mikaël  Brathwaite  Best,Mikal.Best-585@kkhairemporium.com,qWYz0Mv7tj,c8a96cfdfdf9cf5c,1991/08/20,Palm Grove #46,Couva-Tabaquite-Talparo,00000,Trinidad & Tobago,Port of Spain,15996,Male,+ 1702671996149491  ,2017/12/21,94
Kareem Best,Kareem.Best@loyalty.kkhair.com,Yd1$xu#6,c2920cc2b565ae1a,1958/11/19,Palm Grove #98,Port of Spain,TT5679,Trinidad & Tobago,Chaguanas,15815,Female,+ 202730  ,2016/10,111
Chloë García,Chlo.Garca@KKHAIREMPORIUM.COM,e7tszfAF,477b2337ff7e5eec,2002/11/10,Hibiscus Lane #201,St. George Basseterre,KN0302,St. Kitts & Nevis,Basseterre,19436,Prefer not to say,651-4448-657430620,2016/05/12,86
Chloë Grant,CHLO.GRANT@mail.kkhair.net,$kiAba%IEBpLkoj4,760a0e8a19975e35,1955-07-15,Market Street #144,St. Thomas Lowland,2826,St. Kitts & Nevis,Basseterre,22091,Prefer not to say,+1 (869) 36240885163,2018/11/02,62
Mikaël O'Connor,MIKAL.OCONNOR-421@kandk-hair.co,IpPqU&A^Sk,7af23d98dd8f3651,1964/01/06,Bay Street #92,St. Peter,BB14000,Barbados,Warrens,17085,Non-binary,+1 (246) 118581101460,2018/01/29,43
Tia Joseph,Tia.Joseph@kkhairemporium.com,R2D kZ@WY,e3c5e8ee22679fe1,1962-12-17,Cedar Park #131,St. John Figtree,KN0101,St. Kitts & Nevis,Charlestown,18178,Female,+ 8213114  ,2016/12/19,113
Anaïs O'Connor,Anas.OConnor@mail.kkhair.net,LsP 0CMccl51^CFJU,83b226160ecc2f0c,1964/07/14,Sugar Cane Way #206,St. George,45079,Barbados,Warrens,22613,Male,+1 (246) 0987284818186969,2017/07/29,32
Sade Holder,SADE.HOLDER@kandk-hair.co,0zZtdj0aILo9uyid,1cdc7e43b6b819f1,1987/11/08,Sunset Blvd #82,St. Peter,BB23026,Barbados,Warrens,11352,Prefer not to say,+ 4165666715711120  ,2016/02/06,88
José Brathwaite,Jos.Brathwaite@mail.kkhair.net,0xURrS61,076b81d2d6086845,1999/07/01,Hibiscus Lane #67,St. Peter,BB14000,Barbados,Bridgetown,23329,Male,989-3090,2016/04/07,119
Kareem Charles,KAREEM.CHARLES@domain_with_space.kkhairemporium.com,3QasT5!efP,4e08c6c236d86c4d,1992-03-14,Sugar Cane Way #100,Diego Martin,00000,Trinidad & Tobago,San Fernando,23244,Prefer not to say,+1 (868) 29694269,2017-07-11,80
Jermaine Núñez,Jermaine.Nez@kandk-hair.co,8eUe&8RRfP3u,2ceb03736e1e82ZZ,1979/10/21,Cedar Park #276,St. Thomas Lowland,KN0302,St. Kitts & Nevis,Charlestown,21749,Female,04624786,2017-02-05,107
Sofía Dottin,SOFA.DOTTIN@kandk-hair.co,ENOLNY,97521a9cd3fe61f0,1961/10/25,Sugar Cane Way #293,Arima,94018,Trinidad & Tobago,San Fernando,14611,Prefer not to say,+1 (868) 709951,2016/03/22,107
Tia O'Connor,TIA.OCONNOR_744@KKHAIREMPORIUM.COM,RVcdhGMJjS2W,1be5fbd45053ea56,1956/12/18,Mango Tree Drive #15,Castries,4716,St. Lucia,Vieux Fort,12858,Female,+ 720324893237  ,2018/09,53
Latoya Singh,Latoya.Singh@@kandk-hair.co,#Kt1$e!4T8,9dbaebc9b2584e78,1966/06/07,Coral Ridge #287,Chaguanas,21953,Trinidad & Tobago,Port of Spain,6015,Prefer not to say,511-8778,2017/06,8
Dwayne Charles,Dwayne.Charles@mail.kkhair.net,cyi^&4,5ffd1dce950a0af9,1967/12/10,Harbour View #108,Vieux Fort,LC12 301,St. Lucia,Castries,17408,Prefer not to say,+1 (758) 5153121413829879,2018/05/30,54
D’Andre Johnson,DAndre.Johnson@kkhairemporium.com,E17enQVvxX,48cba4bfe6a3c740,1971/02,Bay Street #238,Dennery,LC04 101,St. Lucia,Castries,21381,Female,002-1498-0084,2017-10-07,42
Jermaine De la Cruz,JERMAINE.CRUZ_235@kkhairemporium.com,E1XH%F,08cf64ea8ad4f3ZZ,1978/04/10,Harbour View #269,Vieux Fort,LC04 101,St. Lucia,Vieux Fort,2008,Prefer not to say,094-7830-626,2017/11/10,68
Devon Charles,DEVON.CHARLES@kandk-hair.co,rfw6NFf%lk,152a34b26c81a93c,1969/10/26,Mango Tree Drive #5,St. George Basseterre,9805,St. Kitts & Nevis,Sandy Point,15601,Non-binary,+ 900322  ,2018/06/01,30
Jéssica Jean-Baptiste,Jssica.Jean-Baptiste@loyalty.kkhair.com,CjhArBD*TG,df71ba52d8ad4486,1967/03/21,Bay Street #41,Gros Islet,LC12 301,St. Lucia,Vieux Fort,16443,Male,+1 (758) 923078141257,2018/04/24,7
Latoya García,Latoya.Garca@kandk-hair.co,M8P4inDoV1,f631495c9ad78d9b,1963/12/06,Bamboo Crescent #294,Port of Spain,TT6672,Trinidad & Tobago,Chaguanas,11303,Prefer not to say,(632) 7502,2016/05/25,49
Aaliyah Johnson,Aaliyah.Johnson@kandk-hair.co,d!F31N@fWOaoZICE,46a05223f0101454,1987/03,Sugar Cane Way #86,Castries,LC10 201,St. Lucia,Vieux Fort,23543,Non-binary,+1 (758) 0898046617,2016/02,36
Noël Charles,Nol.Charles@kkhairemporium.com,fY1PhZ$^,bed15e63d07b14ZZ,1966/05/12,Bamboo Crescent #32,Couva-Tabaquite-Talparo,00000,Trinidad & Tobago,San Fernando,2884,Prefer not to say,456-4686-6764,2016/09/02,91
Dwayne Clarke-Núñez,Dwayne.Clarke-Nez@mail.kkhair.net,!mc8E#wyxs,77fd54678a13a83f,1988/02/10,Harbour View #224,St. George Basseterre,KN0101,St. Kitts & Nevis,Basseterre,622,Non-binary,11862479393,2017/02,65
Keisha Grant-Best,KEISHA.GRANT-BEST@kandk-hair.co,S^gc#9V@R6,63746f1888ca0362,1987/11/30,Bay Street #153,St. George Basseterre,KN0503,St. Kitts & Nevis,Basseterre,20189,Male,+ 6457017  ,2018/07/08,107
Renée Morris Greenidge,RENE.GREENIDGE@mail.kkhair.net,ke&tXv97,0d093dc0bcc32542,1998/2/19,Harbour View #156,San Fernando,00000,Trinidad & Tobago,Chaguanas,16156,Non-binary,(363) 1492,2018/04,12
Renée Alleyne,Rene.Alleyne@kandk-hair.co,WJvwd1tRR^,106b1ebc78931b79,2004/01,Sunset Blvd #96,St. John Figtree,3680,St. Kitts & Nevis,Sandy Point,16583,Male,+1 (869) 07932818,2018/08/28,62
Renée  Johnson,Rene.Johnson-893@kandk-hair.co,6Hn8i#I^ac,0027715380802275,2005/02/10,Bay Street #40,Arima,29660,Trinidad & Tobago,Port of Spain,8734,Non-binary,7645618,2017/09/27,73
